"Arts, Design, Entertainment, Sports, and Media",Actor
"Arts, Design, Entertainment, Sports, and Media",Announcer
"Arts, Design, Entertainment, Sports, and Media",Art Director
"Arts, Design, Entertainment, Sports, and Media",Athlete and/or Sports Competitor
"Arts, Design, Entertainment, Sports, and Media",Audio and Video Equipment Technician
"Arts, Design, Entertainment, Sports, and Media",Author
"Arts, Design, Entertainment, Sports, and Media",Broadcast News Analyst
"Arts, Design, Entertainment, Sports, and Media",Broadcast Technician
"Arts, Design, Entertainment, Sports, and Media",Camera Operator
"Arts, Design, Entertainment, Sports, and Media",Choreographer
"Arts, Design, Entertainment, Sports, and Media",Coach and/or Scout
"Arts, Design, Entertainment, Sports, and Media",Commercial and/or Industrial Designers
"Arts, Design, Entertainment, Sports, and Media",Copy Writer
"Arts, Design, Entertainment, Sports, and Media",Craft Artist
"Arts, Design, Entertainment, Sports, and Media",Curator
"Arts, Design, Entertainment, Sports, and Media",Dancer
"Arts, Design, Entertainment, Sports, and Media","Director - Stage, Motion Pictures, Television and/or Radio"
"Arts, Design, Entertainment, Sports, and Media",Editor
"Arts, Design, Entertainment, Sports, and Media",Essayist
"Arts, Design, Entertainment, Sports, and Media",Fashion Designer
"Arts, Design, Entertainment, Sports, and Media",Film and Video Editor
"Arts, Design, Entertainment, Sports, and Media",Floral Designer
"Arts, Design, Entertainment, Sports, and Media",Graphic Designer
"Arts, Design, Entertainment, Sports, and Media",Illustrator
"Arts, Design, Entertainment, Sports, and Media",Interior Designer
"Arts, Design, Entertainment, Sports, and Media",Interpreter and/or Translator
"Arts, Design, Entertainment, Sports, and Media",Media and Communication Equipment Worker
"Arts, Design, Entertainment, Sports, and Media",Merchandising
"Arts, Design, Entertainment, Sports, and Media",Multi-Media Artist and/or Animator
"Arts, Design, Entertainment, Sports, and Media",Music Director and/or Composer
"Arts, Design, Entertainment, Sports, and Media",Musician and/or Singer
"Arts, Design, Entertainment, Sports, and Media",Painter
"Arts, Design, Entertainment, Sports, and Media",Photographer
"Arts, Design, Entertainment, Sports, and Media",Poet
